,straat,huisnr,adres,vergunning,vergund tot
1047,Coornhertstraat,116,Coornhertstraat 116,omgevingsvergunning,2025-09-20
1048,Pisuissestraat,101,Pisuissestraat 101,omgevingsvergunning,2026-06-29
1049,Citroenkruid,123,Citroenkruid 123,terrasvergunning,2022-06-21
1050,Turnstraat,91,Turnstraat 91,exploitatievergunning,2023-11-15
1051,Evastraat,126,Evastraat 126,exploitatievergunning,2024-03-15
1052,Noorderbocht,9,Noorderbocht 9,alcoholvergunning,2026-09-10
1053,Carl Nielsenhof,52,Carl Nielsenhof 52,nachthoreca,2025-08-08
1054,Geervlietstraat,24,Geervlietstraat 24,omgevingsvergunning,2024-01-31
1055,Hooghagen,95,Hooghagen 95,terrasvergunning,2023-07-14
1056,Marnixdwarsstraat,199,Marnixdwarsstraat 199,nachthoreca,2025-10-21
1057,Jan Meertensstraat,38,Jan Meertensstraat 38,nachthoreca,2025-08-12
1058,Oranje-Nassaustraat,29,Oranje-Nassaustraat 29,terrasvergunning,2025-11-21
1059,Donnerstraat,69,Donnerstraat 69,omgevingsvergunning,2026-07-14
1060,Elisabethstraat,134,Elisabethstraat 134,nachthoreca,2024-05-30
1061,Eleonorahof,171,Eleonorahof 171,nachthoreca,2022-06-23
1062,Staalstraat,115,Staalstraat 115,terrasvergunning,2026-02-24
1063,Snellinckstraat,184,Snellinckstraat 184,terrasvergunning,2025-09-24
1064,Van der Sluysstraat,82,Van der Sluysstraat 82,alcoholvergunning,2025-08-13
1065,Heegermeer,42,Heegermeer 42,exploitatievergunning,2026-01-17
1066,Stationssingel,62,Stationssingel 62,exploitatievergunning,2026-09-28
1067,Vikingoord,20,Vikingoord 20,nachthoreca,2023-03-01
1068,Vlaskade,113,Vlaskade 113,exploitatievergunning,2024-02-18
1069,Einsteinplaats,187,Einsteinplaats 187,alcoholvergunning,2023-07-13
1070,Terpstraat,190,Terpstraat 190,alcoholvergunning,2024-12-18
1071,Blankenburgerpark,4,Blankenburgerpark 4,terrasvergunning,2026-05-28
1072,Drontermeer,81,Drontermeer 81,exploitatievergunning,2023-03-23
1073,Art Tatumstraat,62,Art Tatumstraat 62,nachthoreca,2026-04-04
1074,Serooskerkestraat,103,Serooskerkestraat 103,exploitatievergunning,2024-01-27
1075,Heymansstraat,72,Heymansstraat 72,terrasvergunning,2026-05-07
1076,Van Lieshoutstraat,57,Van Lieshoutstraat 57,terrasvergunning,2022-08-24
1077,Vittoria Colonnapad,173,Vittoria Colonnapad 173,terrasvergunning,2026-03-15
1078,Kierkegaardstraat,73,Kierkegaardstraat 73,terrasvergunning,2022-07-19
1079,Frits Touwstraat,117,Frits Touwstraat 117,omgevingsvergunning,2022-10-24
1080,Kramerstraat,118,Kramerstraat 118,terrasvergunning,2023-12-30
1081,Rotterdamsestraat,6,Rotterdamsestraat 6,exploitatievergunning,2022-06-17
1082,Woensdrechtstraat,152,Woensdrechtstraat 152,terrasvergunning,2025-01-23
1083,Diephuisstraat,22,Diephuisstraat 22,alcoholvergunning,2026-09-25
1084,Regge,154,Regge 154,alcoholvergunning,2023-08-24
1085,Duinbekedam,137,Duinbekedam 137,alcoholvergunning,2022-11-17
1086,Buitenzorg,1,Buitenzorg 1,alcoholvergunning,2024-10-31
1087,Hobo,139,Hobo 139,exploitatievergunning,2026-12-22
1088,Stadionlaan,83,Stadionlaan 83,exploitatievergunning,2025-04-12
1089,Everaertstraat,112,Everaertstraat 112,nachthoreca,2025-09-09
1090,Jinnahsingel,188,Jinnahsingel 188,terrasvergunning,2024-05-03
1091,Sandelingstraat,160,Sandelingstraat 160,exploitatievergunning,2025-12-28
1092,Scheepmakerskade,177,Scheepmakerskade 177,alcoholvergunning,2023-05-27
1093,Koeweide,139,Koeweide 139,nachthoreca,2026-08-05
1094,Francina Molen,44,Francina Molen 44,omgevingsvergunning,2025-01-14
1095,Arthur Cravanhof,150,Arthur Cravanhof 150,omgevingsvergunning,2027-01-30
1096,Boergoensestraat,78,Boergoensestraat 78,nachthoreca,2026-01-04
1097,Ariostohof,64,Ariostohof 64,terrasvergunning,2027-05-17
1098,Delistraat,197,Delistraat 197,nachthoreca,2023-09-12
1099,Sevillaweg,77,Sevillaweg 77,alcoholvergunning,2025-06-26
1100,Berkendaal,76,Berkendaal 76,nachthoreca,2025-04-08
1101,Madame Gresstraat,166,Madame Gresstraat 166,omgevingsvergunning,2023-01-18
1102,Steenhagen,175,Steenhagen 175,alcoholvergunning,2022-07-08
1103,Feijenoordhaven,42,Feijenoordhaven 42,omgevingsvergunning,2025-10-02
1104,Watermeterpad,126,Watermeterpad 126,omgevingsvergunning,2023-04-27
1105,Lutter,118,Lutter 118,exploitatievergunning,2024-11-18
1106,Albregt-Engelmanstraat,129,Albregt-Engelmanstraat 129,terrasvergunning,2026-03-20
1107,Lisztlaan,21,Lisztlaan 21,nachthoreca,2023-05-24
1108,Torenlaan,160,Torenlaan 160,terrasvergunning,2025-03-16
1109,Stan Kentonstraat,74,Stan Kentonstraat 74,omgevingsvergunning,2024-08-17
1110,Sterkenburgsingel,50,Sterkenburgsingel 50,nachthoreca,2025-05-21
1111,Heijplaatstraat,87,Heijplaatstraat 87,nachthoreca,2027-03-12
1112,Boogjes,194,Boogjes 194,omgevingsvergunning,2026-04-18
1113,Ulaanbaatarplein,7,Ulaanbaatarplein 7,alcoholvergunning,2023-03-29
1114,Christa Ehrlichhof,178,Christa Ehrlichhof 178,omgevingsvergunning,2025-06-12
1115,Karel de Stoutestraat,67,Karel de Stoutestraat 67,exploitatievergunning,2027-01-18
1116,Rozemarijnstraat,96,Rozemarijnstraat 96,alcoholvergunning,2023-11-27
1117,Soerweg,195,Soerweg 195,terrasvergunning,2022-08-15
1118,West-Kruiskade,3,West-Kruiskade 3,omgevingsvergunning,2024-05-28
1119,Molenvijver,131,Molenvijver 131,alcoholvergunning,2025-11-15
1120,Nieuwe Crooswijkseweg,179,Nieuwe Crooswijkseweg 179,omgevingsvergunning,2027-04-26
1121,R.H. Fledderusstraat,192,R.H. Fledderusstraat 192,alcoholvergunning,2024-09-06
1122,Bulgaarsestraat,89,Bulgaarsestraat 89,exploitatievergunning,2022-09-03
1123,Zwartewaalstraat,57,Zwartewaalstraat 57,terrasvergunning,2027-02-24
1124,Westzeedijk,62,Westzeedijk 62,nachthoreca,2026-07-24
1125,George de Vosstraat,46,George de Vosstraat 46,exploitatievergunning,2027-03-25
1126,Lodewijk Rogierhof,76,Lodewijk Rogierhof 76,terrasvergunning,2024-08-07
1127,Koldingdreef,149,Koldingdreef 149,exploitatievergunning,2024-07-29
1128,Darinckdelversstraat,126,Darinckdelversstraat 126,omgevingsvergunning,2023-01-06
1129,Witte Klaver,140,Witte Klaver 140,omgevingsvergunning,2025-11-13
1130,Van Oestendestraat,157,Van Oestendestraat 157,omgevingsvergunning,2026-08-28
1131,Stadhoudersweg,196,Stadhoudersweg 196,nachthoreca,2025-04-01
1132,Zuiderhelling,62,Zuiderhelling 62,terrasvergunning,2026-05-27
1133,Zeedistel,199,Zeedistel 199,nachthoreca,2026-01-13
1134,Marinus van Elswijkkade,42,Marinus van Elswijkkade 42,exploitatievergunning,2025-04-16
1135,President Rooseveltweg,40,President Rooseveltweg 40,terrasvergunning,2024-11-14
1136,Sluiskreek,47,Sluiskreek 47,alcoholvergunning,2024-01-20
1137,Godschalkstraat,51,Godschalkstraat 51,alcoholvergunning,2025-11-19
1138,Spaanseweg,175,Spaanseweg 175,nachthoreca,2025-09-30
1139,Breitnerstraat,60,Breitnerstraat 60,exploitatievergunning,2024-09-03
1140,Heer Bokelweg,88,Heer Bokelweg 88,terrasvergunning,2022-11-19
1141,Eelkmanstraat,116,Eelkmanstraat 116,exploitatievergunning,2022-06-17
1142,Kameraarstraat,48,Kameraarstraat 48,omgevingsvergunning,2024-11-24
1143,Hoyledesingel,53,Hoyledesingel 53,exploitatievergunning,2022-10-21
1144,Dalweg,185,Dalweg 185,nachthoreca,2024-11-13
1145,Contenderstraat,177,Contenderstraat 177,alcoholvergunning,2024-02-08
1146,Zuiddiepjeskade,2,Zuiddiepjeskade 2,exploitatievergunning,2025-08-19
1147,'s-Gravenweg,65,'s-Gravenweg 65,exploitatievergunning,2026-12-22
1148,Krimpenerstraat,113,Krimpenerstraat 113,exploitatievergunning,2026-03-03
1149,Piet Begeerstraat,11,Piet Begeerstraat 11,alcoholvergunning,2023-09-18
1150,Kamgras,191,Kamgras 191,alcoholvergunning,2025-09-18
1151,Georges Vantongerloohof,69,Georges Vantongerloohof 69,alcoholvergunning,2023-10-03
1152,Kastanjesingel,192,Kastanjesingel 192,terrasvergunning,2022-07-31
1153,Offenbachlaan,84,Offenbachlaan 84,omgevingsvergunning,2026-01-24
1154,Aleyda van Raephorstlaan,48,Aleyda van Raephorstlaan 48,exploitatievergunning,2025-08-26
1155,Loeffstraat,156,Loeffstraat 156,nachthoreca,2024-10-31
1156,Adrianaplein,154,Adrianaplein 154,terrasvergunning,2026-10-08
1157,Dienstkraanpad,181,Dienstkraanpad 181,alcoholvergunning,2023-03-30
1158,Katendrechtse Lagedijk,117,Katendrechtse Lagedijk 117,omgevingsvergunning,2026-12-10
1159,Piekstraat,130,Piekstraat 130,nachthoreca,2024-10-05
1160,Fresiastraat,185,Fresiastraat 185,omgevingsvergunning,2027-01-01
1161,Antonie Bodaanweg,38,Antonie Bodaanweg 38,nachthoreca,2024-05-10
1162,Spiegelnisserstraat,53,Spiegelnisserstraat 53,omgevingsvergunning,2025-10-23
1163,Oude Binnenweg,65,Oude Binnenweg 65,exploitatievergunning,2022-07-20
1164,Ommoordsestraat,129,Ommoordsestraat 129,alcoholvergunning,2027-03-17
1165,Zalmhaven,28,Zalmhaven 28,terrasvergunning,2025-11-14
1166,Steven Hoogendijkstraat,86,Steven Hoogendijkstraat 86,terrasvergunning,2026-09-07
1167,Reigerpad,152,Reigerpad 152,nachthoreca,2022-11-25
1168,Ocarina,66,Ocarina 66,alcoholvergunning,2026-12-20
1169,Conducteurhof,137,Conducteurhof 137,nachthoreca,2026-03-03
1170,Ganzenoord,106,Ganzenoord 106,exploitatievergunning,2027-03-25
1171,Hattasingel,140,Hattasingel 140,nachthoreca,2023-01-11
1172,Drijfhoutstraat,115,Drijfhoutstraat 115,terrasvergunning,2025-08-10
1173,Parkhaven,109,Parkhaven 109,terrasvergunning,2023-09-25
1174,Kamillestraat,165,Kamillestraat 165,exploitatievergunning,2024-06-16
1175,Clematisstraat,192,Clematisstraat 192,alcoholvergunning,2025-02-27
1176,Brandingdijk,67,Brandingdijk 67,nachthoreca,2025-09-17
1177,Zoomstraat,31,Zoomstraat 31,nachthoreca,2024-08-11
1178,Doorbraak,86,Doorbraak 86,omgevingsvergunning,2023-08-04
1179,Prinses Margrietlaan,3,Prinses Margrietlaan 3,alcoholvergunning,2025-01-10
1180,Johanna van Duynstraat,20,Johanna van Duynstraat 20,alcoholvergunning,2023-10-07
1181,H.J.A. Hoflandlaan,129,H.J.A. Hoflandlaan 129,terrasvergunning,2024-02-15
1182,Onsteinpad,2,Onsteinpad 2,omgevingsvergunning,2026-08-19
1183,Binkhorst,110,Binkhorst 110,nachthoreca,2023-03-23
1184,Schoterboshof,12,Schoterboshof 12,omgevingsvergunning,2025-12-20
1185,Koldingdreef,36,Koldingdreef 36,omgevingsvergunning,2024-06-12
1186,Groen van Prinstererstraat,10,Groen van Prinstererstraat 10,exploitatievergunning,2025-09-14
1187,Dierenstraat,17,Dierenstraat 17,terrasvergunning,2024-01-13
1188,Kraaijeveldstraat,156,Kraaijeveldstraat 156,nachthoreca,2022-11-27
1189,Vlambloem,187,Vlambloem 187,omgevingsvergunning,2024-10-16
1190,Hendrik Lansbergenstraat,93,Hendrik Lansbergenstraat 93,alcoholvergunning,2026-09-20
1191,Kamperfoeliestraat,190,Kamperfoeliestraat 190,omgevingsvergunning,2026-10-13
1192,Bertus Brouwerhof,192,Bertus Brouwerhof 192,nachthoreca,2025-03-05
1193,Grondherendijk,62,Grondherendijk 62,exploitatievergunning,2024-11-20
1194,Bergplein,121,Bergplein 121,nachthoreca,2023-04-03
1195,Charles Mingussingel,168,Charles Mingussingel 168,alcoholvergunning,2023-07-23
1196,Statensingel,100,Statensingel 100,alcoholvergunning,2025-04-07
1197,Hordijk,169,Hordijk 169,nachthoreca,2025-01-23
1198,Bugel,104,Bugel 104,terrasvergunning,2026-04-26
1199,Clemensstraat,89,Clemensstraat 89,exploitatievergunning,2024-12-22
1200,Rhijnspoorkade,183,Rhijnspoorkade 183,nachthoreca,2023-06-20
1201,Cortenbachsingel,154,Cortenbachsingel 154,omgevingsvergunning,2024-09-11
1202,Nijenrodeweg,61,Nijenrodeweg 61,exploitatievergunning,2024-04-28
1203,Buntgras,193,Buntgras 193,alcoholvergunning,2026-11-14
1204,Kerkdreef,127,Kerkdreef 127,omgevingsvergunning,2024-04-23
1205,Kiplingstraat,178,Kiplingstraat 178,alcoholvergunning,2023-05-02
1206,Adriaan Kluitstraat,168,Adriaan Kluitstraat 168,nachthoreca,2022-09-30
1207,Veenoord,96,Veenoord 96,omgevingsvergunning,2024-01-27
1208,Vijverlaan,22,Vijverlaan 22,nachthoreca,2027-04-25
1209,Schimmelpenninckstraat,6,Schimmelpenninckstraat 6,exploitatievergunning,2025-11-24
1210,Lucie Vuylstekeweg,92,Lucie Vuylstekeweg 92,terrasvergunning,2023-11-20
1211,Roemeensestraat,50,Roemeensestraat 50,omgevingsvergunning,2023-09-22
1212,Spaanseweg,182,Spaanseweg 182,exploitatievergunning,2027-03-27
1213,Bermdijk,30,Bermdijk 30,alcoholvergunning,2027-05-05
1214,Mariniersweg,134,Mariniersweg 134,alcoholvergunning,2022-10-17
1215,Strausslaan,179,Strausslaan 179,omgevingsvergunning,2025-10-14
1216,Lobeliastraat,75,Lobeliastraat 75,terrasvergunning,2024-05-02
1217,Riekus Waskowskyhof,44,Riekus Waskowskyhof 44,exploitatievergunning,2024-02-10
1218,Beijerlandsestraat,26,Beijerlandsestraat 26,omgevingsvergunning,2024-07-12
1219,Filterhuispad,38,Filterhuispad 38,terrasvergunning,2027-03-29
1220,Boterbloem,91,Boterbloem 91,omgevingsvergunning,2023-10-02
1221,Lissabonerf,168,Lissabonerf 168,alcoholvergunning,2025-08-16
1222,Minervaplein,81,Minervaplein 81,alcoholvergunning,2023-08-20
1223,Ammersooiseplein,61,Ammersooiseplein 61,omgevingsvergunning,2025-05-10
1224,Papierbloem,133,Papierbloem 133,nachthoreca,2026-11-30
1225,Optenoord,198,Optenoord 198,nachthoreca,2026-10-18
1226,Tolhuisbocht,61,Tolhuisbocht 61,alcoholvergunning,2025-02-12
1227,Briandplaats,120,Briandplaats 120,terrasvergunning,2025-01-03
1228,Jeneverbes,121,Jeneverbes 121,nachthoreca,2023-12-29
1229,Slotlaan,64,Slotlaan 64,terrasvergunning,2024-10-29
1230,Larenkamp,185,Larenkamp 185,nachthoreca,2025-09-14
1231,Speltstraat,193,Speltstraat 193,exploitatievergunning,2027-05-20
1232,Wim Lagendaalpad,198,Wim Lagendaalpad 198,exploitatievergunning,2023-12-11
1233,Kleine Kreek,107,Kleine Kreek 107,terrasvergunning,2026-06-15
1234,Ommoordseweg,178,Ommoordseweg 178,nachthoreca,2024-07-30
1235,Luntershoek,136,Luntershoek 136,nachthoreca,2025-07-14
1236,Boris Pasternakstraat,29,Boris Pasternakstraat 29,terrasvergunning,2026-03-09
1237,Stadhuisplein,101,Stadhuisplein 101,terrasvergunning,2025-04-20
1238,Craandijkstraat,152,Craandijkstraat 152,exploitatievergunning,2027-03-15
1239,Vordenpad,185,Vordenpad 185,nachthoreca,2026-04-15
1240,Rhijnvis Feithstraat,20,Rhijnvis Feithstraat 20,terrasvergunning,2024-06-26
1241,Turnstraat,86,Turnstraat 86,exploitatievergunning,2023-01-20
1242,Engelsestraat,52,Engelsestraat 52,nachthoreca,2025-03-08
1243,Lindenhof,147,Lindenhof 147,omgevingsvergunning,2023-05-08
1244,Zijdewindestraat,199,Zijdewindestraat 199,terrasvergunning,2025-01-02
1245,Alard Duhameelstraat,95,Alard Duhameelstraat 95,alcoholvergunning,2022-07-06
1246,Meerdijk,112,Meerdijk 112,exploitatievergunning,2022-06-16
1247,Chopinlaan,197,Chopinlaan 197,terrasvergunning,2024-10-27
1248,Cees Seepad,150,Cees Seepad 150,alcoholvergunning,2027-05-16
1249,Druckerstraat,172,Druckerstraat 172,terrasvergunning,2023-04-19
1250,Boerengatkade,27,Boerengatkade 27,exploitatievergunning,2025-11-12
1251,Kleine Kreek,135,Kleine Kreek 135,nachthoreca,2025-08-28
1252,Gordelweg,198,Gordelweg 198,alcoholvergunning,2022-06-18
1253,Kolk,155,Kolk 155,exploitatievergunning,2024-12-27
1254,Heer Kerstantstraat,94,Heer Kerstantstraat 94,omgevingsvergunning,2025-12-18
1255,Leendert Legersteestraat,6,Leendert Legersteestraat 6,alcoholvergunning,2023-04-16
1256,Roemer Visscherstraat,185,Roemer Visscherstraat 185,nachthoreca,2027-06-14
1257,Binnenhavenhof,108,Binnenhavenhof 108,terrasvergunning,2023-11-30
1258,Karel de Stoutestraat,161,Karel de Stoutestraat 161,alcoholvergunning,2023-01-27
1259,Andries Copierhof,25,Andries Copierhof 25,terrasvergunning,2023-11-02
1260,Toepad,106,Toepad 106,nachthoreca,2027-06-09
1261,Marentakstraat,114,Marentakstraat 114,alcoholvergunning,2023-04-22
1262,Parkkade,25,Parkkade 25,alcoholvergunning,2022-12-31
1263,Schermlaan,53,Schermlaan 53,omgevingsvergunning,2023-07-13
1264,Ocarina,138,Ocarina 138,exploitatievergunning,2025-05-29
1265,Industrieweg,26,Industrieweg 26,nachthoreca,2023-05-11
1266,Krommenoord,154,Krommenoord 154,terrasvergunning,2026-08-01
1267,Stoombootveer,143,Stoombootveer 143,nachthoreca,2023-06-27
1268,Duisburghof,9,Duisburghof 9,omgevingsvergunning,2023-04-09
1269,Duindoorn,200,Duindoorn 200,exploitatievergunning,2026-06-23
1270,Tintedijk,135,Tintedijk 135,omgevingsvergunning,2022-11-15
1271,Geyssendorfferweg,160,Geyssendorfferweg 160,alcoholvergunning,2026-03-06
1272,Van der Horststraat,23,Van der Horststraat 23,alcoholvergunning,2024-02-28
1273,Van Opbergenstraat,53,Van Opbergenstraat 53,alcoholvergunning,2025-01-26
1274,Wildeveenstraat,171,Wildeveenstraat 171,exploitatievergunning,2026-10-06
1275,Amerbachstraat,117,Amerbachstraat 117,exploitatievergunning,2023-04-20
1276,Beukelaarsstraat,191,Beukelaarsstraat 191,omgevingsvergunning,2027-05-15
1277,Talingstraat,56,Talingstraat 56,terrasvergunning,2023-03-08
1278,Samuel Esmeijerplein,176,Samuel Esmeijerplein 176,alcoholvergunning,2023-09-18
1279,Leendert Legersteestraat,78,Leendert Legersteestraat 78,exploitatievergunning,2025-04-26
1280,Blommersdijkselaan,189,Blommersdijkselaan 189,omgevingsvergunning,2026-11-11
1281,Reserveboezemstraat,59,Reserveboezemstraat 59,terrasvergunning,2024-03-11
1282,V.O.C.-plein,175,V.O.C.-plein 175,exploitatievergunning,2025-10-02
1283,Philip Vingboonsstraat,58,Philip Vingboonsstraat 58,exploitatievergunning,2024-11-20
1284,Leermos,124,Leermos 124,nachthoreca,2023-09-10
1285,Bierens de Haanweg,33,Bierens de Haanweg 33,nachthoreca,2026-05-28
1286,Geerten Gossaertstraat,88,Geerten Gossaertstraat 88,terrasvergunning,2023-02-10
1287,Schinnenbaan,110,Schinnenbaan 110,exploitatievergunning,2022-10-09
1288,Nassaustraat,106,Nassaustraat 106,alcoholvergunning,2027-02-04
1289,Anthoniestraat,143,Anthoniestraat 143,omgevingsvergunning,2023-09-05
1290,Erasmussingel,7,Erasmussingel 7,alcoholvergunning,2023-06-24
1291,West-Varkenoordseweg,88,West-Varkenoordseweg 88,omgevingsvergunning,2024-03-18
1292,Hennekijnstraat,41,Hennekijnstraat 41,terrasvergunning,2025-09-14
1293,Veerhaven,188,Veerhaven 188,alcoholvergunning,2023-03-06
1294,Boy Edgarstraat,56,Boy Edgarstraat 56,nachthoreca,2025-12-17
1295,Middenhagen,54,Middenhagen 54,terrasvergunning,2024-01-05
1296,Dosiohof,62,Dosiohof 62,exploitatievergunning,2025-12-19
1297,Veenmos,104,Veenmos 104,nachthoreca,2023-07-27
1298,Ruitenborghstraat,17,Ruitenborghstraat 17,alcoholvergunning,2022-12-24
1299,Vaanweg,51,Vaanweg 51,alcoholvergunning,2022-12-31
1300,Pergolesilaan,17,Pergolesilaan 17,nachthoreca,2027-03-21
1301,Branco van Dantzigstraat,17,Branco van Dantzigstraat 17,nachthoreca,2023-11-22
1302,Mathildestraat,149,Mathildestraat 149,terrasvergunning,2023-08-17
1303,Cees Wegerifhof,31,Cees Wegerifhof 31,omgevingsvergunning,2025-08-04
1304,Lemkensstraat,56,Lemkensstraat 56,nachthoreca,2025-03-21
1305,Karel de Stoutestraat,46,Karel de Stoutestraat 46,omgevingsvergunning,2026-10-12
1306,Witte de Withhof,175,Witte de Withhof 175,alcoholvergunning,2022-12-16
1307,Goudsesingel,195,Goudsesingel 195,terrasvergunning,2023-04-25
1308,Noordmolenwerf,16,Noordmolenwerf 16,nachthoreca,2024-05-10
1309,Langegeer,149,Langegeer 149,terrasvergunning,2026-11-02
1310,Maaike Weezenaarstraat,69,Maaike Weezenaarstraat 69,omgevingsvergunning,2023-08-07
1311,Lepeltjesheide,186,Lepeltjesheide 186,terrasvergunning,2025-05-13
1312,Coolsestraat,132,Coolsestraat 132,exploitatievergunning,2024-07-22
1313,Carl Nielsenhof,160,Carl Nielsenhof 160,nachthoreca,2025-06-01
1314,Oppenheimstraat,100,Oppenheimstraat 100,omgevingsvergunning,2022-11-19
1315,Russischestraat,176,Russischestraat 176,exploitatievergunning,2026-04-06
1316,De Merodestraat,186,De Merodestraat 186,terrasvergunning,2025-12-01
1317,Energieweg,71,Energieweg 71,alcoholvergunning,2026-07-25
1318,Vreelustweg,145,Vreelustweg 145,alcoholvergunning,2022-11-02
1319,Weerlanerstraat,18,Weerlanerstraat 18,omgevingsvergunning,2025-03-14
1320,Peitkreek,104,Peitkreek 104,alcoholvergunning,2025-01-08
1321,Pijperstraat,70,Pijperstraat 70,omgevingsvergunning,2022-08-08
1322,Dirk de Lijsterstraat,119,Dirk de Lijsterstraat 119,nachthoreca,2027-02-22
1323,Schoonoordstraat,46,Schoonoordstraat 46,nachthoreca,2025-08-06
1324,Karveelpad,165,Karveelpad 165,nachthoreca,2023-05-20
1325,Kerstendijk,81,Kerstendijk 81,terrasvergunning,2025-08-14
1326,Heeswijkdam,53,Heeswijkdam 53,nachthoreca,2022-09-17
1327,Tweebosstraat,80,Tweebosstraat 80,omgevingsvergunning,2026-05-25
1328,Park Bijdorp,65,Park Bijdorp 65,alcoholvergunning,2022-10-15
1329,Terbregse Rechter Rottekade,28,Terbregse Rechter Rottekade 28,exploitatievergunning,2022-11-19
1330,Bergse Linker Rottekade,113,Bergse Linker Rottekade 113,alcoholvergunning,2024-03-30
1331,Lekstraat,199,Lekstraat 199,nachthoreca,2025-09-03
1332,Jac. Jongertstraat,119,Jac. Jongertstraat 119,terrasvergunning,2026-08-09
1333,Atletiekstraat,134,Atletiekstraat 134,alcoholvergunning,2024-12-14
1334,2e Goudsewagenhof,54,2e Goudsewagenhof 54,nachthoreca,2023-09-23
1335,Folkert Elsingastraat,185,Folkert Elsingastraat 185,alcoholvergunning,2023-12-15
1336,Wagtendonkstraat,71,Wagtendonkstraat 71,terrasvergunning,2025-10-05
1337,Petuniahof,44,Petuniahof 44,alcoholvergunning,2025-01-04
1338,Kreeftstraat,14,Kreeftstraat 14,nachthoreca,2023-05-13
1339,Voorhaven,21,Voorhaven 21,omgevingsvergunning,2024-01-30
1340,Johannes Jansoniushof,109,Johannes Jansoniushof 109,terrasvergunning,2026-05-02
1341,RDM-kade,191,RDM-kade 191,exploitatievergunning,2027-01-05
1342,Smalleweer,56,Smalleweer 56,alcoholvergunning,2023-12-23
1343,Keyenburg,76,Keyenburg 76,omgevingsvergunning,2022-10-24
1344,Sidelingepad,177,Sidelingepad 177,alcoholvergunning,2024-09-10
1345,Jan Sonjéstraat,180,Jan Sonjéstraat 180,omgevingsvergunning,2025-06-06
1346,Bonkesloot,35,Bonkesloot 35,alcoholvergunning,2026-05-21
1347,Piet van de Polsingel,115,Piet van de Polsingel 115,omgevingsvergunning,2025-03-09
1348,Noordmolendwarsstraat,120,Noordmolendwarsstraat 120,alcoholvergunning,2023-07-08
1349,Ooltgensplaathof,149,Ooltgensplaathof 149,exploitatievergunning,2026-04-15
1350,Maskerbloemstraat,80,Maskerbloemstraat 80,terrasvergunning,2026-04-23
1351,Lemsterhoek,193,Lemsterhoek 193,omgevingsvergunning,2027-02-20
1352,Dynamostraat,67,Dynamostraat 67,terrasvergunning,2026-07-06
1353,Schaddeleestraat,46,Schaddeleestraat 46,terrasvergunning,2025-06-01
1354,Zuiderkruisstraat,149,Zuiderkruisstraat 149,omgevingsvergunning,2024-09-02
1355,Vedel,21,Vedel 21,terrasvergunning,2025-09-01
1356,Loods Borneo,184,Loods Borneo 184,omgevingsvergunning,2026-03-30
1357,Rosaliastraat,187,Rosaliastraat 187,exploitatievergunning,2022-08-10
1358,Hazelaarweg,149,Hazelaarweg 149,alcoholvergunning,2026-08-16
1359,Klinkenburg,91,Klinkenburg 91,terrasvergunning,2024-09-01
1360,Dukdalfpad,156,Dukdalfpad 156,omgevingsvergunning,2025-06-09
1361,Rolklaver,26,Rolklaver 26,alcoholvergunning,2025-03-18
1362,Bergschenhoekseweg,33,Bergschenhoekseweg 33,exploitatievergunning,2022-10-23
1363,Wijnkade,118,Wijnkade 118,terrasvergunning,2022-12-22
1364,Ivoordistel,67,Ivoordistel 67,exploitatievergunning,2027-01-16
1365,Filterhuispad,146,Filterhuispad 146,alcoholvergunning,2022-09-17
1366,Scharlakendoorn,184,Scharlakendoorn 184,omgevingsvergunning,2026-11-30
1367,Thelonius Monkpad,85,Thelonius Monkpad 85,terrasvergunning,2024-11-19
1368,Molenvliet,189,Molenvliet 189,terrasvergunning,2023-01-21
1369,Bollandstraat,93,Bollandstraat 93,omgevingsvergunning,2023-05-29
1370,Victor E. van Vrieslandstraat,25,Victor E. van Vrieslandstraat 25,terrasvergunning,2024-06-19
1371,Steupelstraat,25,Steupelstraat 25,exploitatievergunning,2023-12-14
1372,Linertonstraat,53,Linertonstraat 53,nachthoreca,2023-01-15
1373,Veerhaven,5,Veerhaven 5,nachthoreca,2024-06-30
1374,Heer Gillisstraat,9,Heer Gillisstraat 9,omgevingsvergunning,2027-05-23
1375,Wijdesteeg,182,Wijdesteeg 182,nachthoreca,2024-09-21
1376,Kees Pijlstraat,131,Kees Pijlstraat 131,alcoholvergunning,2024-11-14
1377,Parallelstraat,132,Parallelstraat 132,alcoholvergunning,2024-02-23
1378,Heulstraat,6,Heulstraat 6,nachthoreca,2026-10-01
1379,Lange Dijkstraat,52,Lange Dijkstraat 52,terrasvergunning,2024-03-13
1380,Van Staverenstraat,170,Van Staverenstraat 170,omgevingsvergunning,2024-01-17
1381,Laurierstraat,10,Laurierstraat 10,exploitatievergunning,2026-07-23
1382,Waterjufferstraat,51,Waterjufferstraat 51,exploitatievergunning,2025-12-17
1383,Witte de Withstraat,61,Witte de Withstraat 61,exploitatievergunning,2026-08-26
1384,Heer Hugostraat,193,Heer Hugostraat 193,exploitatievergunning,2026-06-30
1385,Stadhuisstraat,4,Stadhuisstraat 4,omgevingsvergunning,2023-09-25
1386,Pieter Postlaan,127,Pieter Postlaan 127,terrasvergunning,2025-03-19
1387,Valkhofstraat,49,Valkhofstraat 49,exploitatievergunning,2025-07-13
